word,count
"co-worker",5
"prosecution",5
"guilty",9
"criminal",20
"cont'd",1
"..also,",1
"#arrested,",1
"alive!",1
"nothings",1
"worth",5
"#police/",1
"#swat!",1
"https://t.co/0mhl7c9vdy",2
"ridin",1
"kno",1
"dirty🚔",1
"l's💯",1
"car",38
"runs",1
"papal",3
"barricade",1
"campus,",1
"suspect",41
"tased",1
"(video",1
"included)",1
"http://t.co/cxvrbpevgg",1
"http://…",25
".@singaporepolice",15
"warn",27
"travellers",17
"misusing",15
"boarding",17
"passes",17
"changi",17
"http://t.co/bvszbav5ff",15
"http://t.co/07ysstpj…",14
"s’intéresse",1
"aux",2
"contrats",1
"post-inondations",1
"2013",2
"http://t.co/uohmgdyomx",1
"bad",16
"united",5
"nations",3
"involved",7
"http://t.co/sp4n5xvyxn",1
"breaking",43
"video:",50
"dead.

watch:",34
"http://t.co/q0fdchyjq8",34
"http://t.co/wghzlmvg9k",34
"http://t.co/ycm9yxykd0",1
"ポリス",6
"atsushi",2
"サングラス愛用　ブランド",1
"送料無料",1
"代引き手数料無料",1
"スムース牛革＆パイソン型押し",1
"キーケース",1
"ブラック",1
"ブラウン",1
"ホワイト",1
"0511",1
"http://t.co/0hhryjbzbl",1
"http://t.co/jmvj0sqs6d:",5
"nigerian...",5
"http://t.co/lw4f0ufvmz",5
"#s…",4
"#armingindia",1
"required",1
"children",16
"under-18",1
"begging",1
"streets",32
"schools",1
"school",21
"j4",8
"m55",8
"junction",3
"due",11
"incident",14
"beautiful",4
"elderly",5
"punched",5
"nutella",5
"samples",5
"costco,",5
"http://t.co/vlj7w8ybwl",5
"[@dlivefeeds]",1
"http://t.co/xubelyfj3x",1
"tuesday,",2
"22,",1
"pocatello",1
"nixle",1
"http://t.co/eixhegao3k",1
"http://t.co/bypsjosbqy",1
"place",7
"saptari",1
"persons",4
"demonstration",2
"month.",1
"https://t.co/nzvccgirop",1
"do!",2
"#deargangster,
the",4
"definition",12
"putting",6
"mouth",4
"#pigs",4
"expect…",3
"inde",7
"les",20
"femmes",7
"refusent",7
"une",14
"des",39
"moeurs @globalpost",1
"https://t.co/8oyteehgid",1
"http://t.co/wwndfjlna9",1
"rk",1
"singh",1
"fellow",4
"secretary",4
"attacked",32
"baba",2
"ramdev's",1
"followers",1
"midnight-",1
"shatrugan",1
"piss",1
"telling",6
"bothering",1
"2.",13
"http://t.co/khhtsy…",12
"brisbane",1
"night",24
"...

very",1
"#auspol",8
"makefield",2
"report:",3
"steals",3
"nicorette",2
"gum,",2
"return",3
"stores;",2
"http://t.co/emzgbasypj",4
"leaked",6
"documents",6
"intrusive",6
"nsa",6
"--",8
"spied",14
"cows",2
"der",1
"gmdc",1
"prove",1
"dat",1
"charge",4
"horn",1
"us,",3
"innocent😂#patidaranamatandolan",1
"http://t.co/ere…",1
"meant",1
"radio!",1
"better.",1
"referred",1
"breasts",1
"time",16
"day",38
"😂",16
"http://t.co/ovo87z1oi6",1
"http://t.co/mywemp7nxt",1
"http://t.co/ahtntfvocs",1
"widely",1
"circulated",1
"june",1
"video,",1
"eric",1
"casebolt,",1
"mckinney",1
"officer,",8
"warns",1
"stay...",1
"http://t.co/6w4nf4gfxy",1
"searching",12
"missing",27
"72-year-old",2
"http://t.co/xp2o40kyio",1
"http://t.co/ecr1r263s2",7
"http://t.co/tvpfpt7nc3",1
"kkk",2
"members",9
"wear",3
"hoods",1
"done,",1
"doctors,",1
"officers,",1
"governers,",1
"judges,",2
"co-workers",1
"ohio",7
"bank",12
"robbed,",7
"tip",9
"facebook",20
"post",14
"http://t.co/9xfvkbaem8",1
"tho",6
"smoking",5
"legal",5
"f",3
"tha",6
"aint",1
"nwa",5
"chill",3
"tf",2
"http://t.co/u6lqefo77f",1
"#5280now",1
"http://t.co/hah7tpt0t4",2
"causeway",1
"accident",6
"left",8
"motorcyclist",4
"dead:",3
"galveston",1
"has...",1
"http://t.co/98d6lf4bw0",1
"#galvnews",1
"http://t.co/jhsejp3n7g",2
"|",88
"http://t.co/nsjgrxu5aj",1
"remarkable",1
"woman!",1
"pollies",1
"groun…",1
"http://t.co/9b0tkgsmqk",1
"""that's",1
"media",5
"believe"".",1
"holy",2
"shit!",1
"furious.",1
"th…",7
"gunshots",1
"scanner,",1
"shot,",7
"multiple",2
"fight.",1
"down.",4
"http://t.co/4jsxigsbsi",1
"http://t.co/wdpuqe1yuw",1
"#jobs",31
"#cachejobs",18
"#jobsearch",2
"#jobsila",14
"#:",7
"p...",3
"http://t.co/mxozuyofsg",1
"engl.language",1
"vdo",1
"thai",31
"doctor",3
"case",10
"murder.
#thailand#sawadee#sun#fun#funny..!",1
"http://t.co/nutnimdijg",1
"decade",10
"on,",4
"danish",4
"mohammed",4
"cartoonist",4
"regrets:",4
"kurt",5
"westergaard,",4
"protection",17
"t...",6
"http:…",25
"*accident:",6
"damage",13
"only*",5
"raleigh",6
"avent",2
"ferry",2
"centennial",1
"pkwy",1
"lg",20
"'figurehead'",31
"land",31
